date,session,open,close,high,low,range_pts,body_pts,body_pct_range,avg_range_20d,state,open_time,close_time,bars
2023-04-28,London,1987.379,1983.463,1989.653,1979.702,9.951000000000022,-3.91599999999994,-0.394,11.067399999999997,TREND_DOWN,2023-04-28 01:00:00,2023-04-28 04:59:00,240
2023-04-28,NY,1983.317,1991.731,1995.032,1976.178,18.853999999999814,8.413999999999987,0.446,22.579650000000004,TREND_UP,2023-04-28 08:00:00,2023-04-28 11:59:00,240
2023-05-01,Asia,1982.711,1982.77,1985.228,1980.804,4.423999999999978,0.05899999999996908,0.013,7.8448999999999955,RANGE,2023-05-01 19:00:00,2023-05-01 22:59:00,240
2023-05-01,London,1984.178,1977.376,1984.178,1977.174,7.004000000000133,-6.802000000000135,-0.971,11.008950000000004,TREND_DOWN,2023-05-01 01:00:00,2023-05-01 04:59:00,240
2023-05-01,NY,1988.985,1982.955,2005.971,1980.512,25.45900000000006,-6.029999999999973,-0.237,22.9535,V_DOWN,2023-05-01 08:00:00,2023-05-01 11:59:00,240
2023-05-02,Asia,2015.691,2017.192,2018.757,2014.203,4.554000000000087,1.5009999999999764,0.33,7.8104499999999915,TREND_UP,2023-05-02 19:00:00,2023-05-02 22:59:00,240
2023-05-02,London,1982.231,1981.347,1985.727,1978.493,7.234000000000151,-0.8840000000000146,-0.122,10.76685000000001,RANGE,2023-05-02 01:00:00,2023-05-02 04:59:00,240
2023-05-02,NY,1986.352,2014.397,2015.503,1984.453,31.049999999999955,28.044999999999845,0.903,23.58655,TREND_UP,2023-05-02 08:00:00,2023-05-02 11:59:00,240
2023-05-03,Asia,2056.677,2043.572,2057.134,2038.297,18.83699999999999,-13.105000000000246,-0.696,7.696899999999994,EXPANSION_DN,2023-05-03 19:00:00,2023-05-03 22:59:00,240
2023-05-03,London,2015.965,2015.633,2018.723,2012.647,6.076000000000022,-0.33199999999987995,-0.055,10.35065000000002,RANGE,2023-05-03 01:00:00,2023-05-03 04:59:00,240
2023-05-03,NY,2015.887,2023.561,2026.795,2007.749,19.04600000000005,7.673999999999978,0.403,24.232400000000005,TREND_UP,2023-05-03 08:00:00,2023-05-03 11:59:00,240
2023-05-04,Asia,2049.062,2046.915,2052.994,2045.473,7.5210000000001855,-2.1469999999999345,-0.285,8.2976,V_DOWN,2023-05-04 19:00:00,2023-05-04 22:59:00,240
2023-05-04,London,2044.258,2034.493,2045.468,2030.364,15.104000000000042,-9.7650000000001,-0.647,10.288050000000009,TREND_DOWN,2023-05-04 01:00:00,2023-05-04 04:59:00,240
2023-05-04,NY,2041.991,2050.976,2059.575,2032.075,27.499999999999773,8.985000000000127,0.327,23.00725000000001,TREND_UP,2023-05-04 08:00:00,2023-05-04 11:59:00,240
2023-05-05,London,2048.539,2039.872,2049.626,2038.845,10.781000000000176,-8.667000000000144,-0.804,10.764350000000013,TREND_DOWN,2023-05-05 01:00:00,2023-05-05 04:59:00,240
2023-05-05,NY,2035.473,2015.189,2038.313,1999.489,38.82400000000007,-20.283999999999878,-0.522,23.27584999999999,EXPANSION_DN,2023-05-05 08:00:00,2023-05-05 11:59:00,240
2023-05-08,Asia,2022.182,2023.746,2024.507,2019.52,4.98700000000008,1.5640000000000782,0.314,8.218000000000007,V_UP,2023-05-08 19:00:00,2023-05-08 22:59:00,240
2023-05-08,London,2023.718,2022.527,2024.708,2019.975,4.733000000000175,-1.191000000000031,-0.252,10.91165000000002,RANGE,2023-05-08 01:00:00,2023-05-08 04:59:00,240
2023-05-08,NY,2022.289,2027.135,2029.272,2017.872,11.399999999999864,4.846000000000004,0.425,24.22164999999999,TREND_UP,2023-05-08 08:00:00,2023-05-08 11:59:00,240
2023-05-09,Asia,2036.056,2031.324,2038.22,2030.478,7.741999999999962,-4.731999999999971,-0.611,8.170100000000014,TREND_DOWN,2023-05-09 19:00:00,2023-05-09 22:59:00,240
2023-05-09,London,2025.681,2025.336,2028.735,2021.415,7.319999999999936,-0.3450000000000273,-0.047,10.751350000000036,RANGE,2023-05-09 01:00:00,2023-05-09 04:59:00,240
2023-05-09,NY,2031.037,2026.914,2032.083,2022.917,9.166000000000167,-4.123000000000047,-0.45,23.769199999999977,TREND_DOWN,2023-05-09 08:00:00,2023-05-09 11:59:00,240
2023-05-10,Asia,2030.829,2032.204,2036.385,2030.767,5.617999999999938,1.375,0.245,8.175250000000016,TREND_UP,2023-05-10 19:00:00,2023-05-10 22:59:00,240
2023-05-10,London,2030.678,2028.493,2032.975,2026.277,6.697999999999865,-2.185000000000173,-0.326,10.634550000000036,TREND_DOWN,2023-05-10 01:00:00,2023-05-10 04:59:00,240
2023-05-10,NY,2029.315,2025.02,2048.183,2021.431,26.751999999999953,-4.295000000000073,-0.161,23.695249999999987,V_DOWN,2023-05-10 08:00:00,2023-05-10 11:59:00,240
2023-05-11,Asia,2015.994,2010.764,2017.523,2008.562,8.961000000000013,-5.230000000000018,-0.584,8.15975000000002,TREND_DOWN,2023-05-11 19:00:00,2023-05-11 22:59:00,240
2023-05-11,London,2031.074,2022.485,2033.146,2021.797,11.348999999999933,-8.58900000000017,-0.757,10.37950000000003,TREND_DOWN,2023-05-11 01:00:00,2023-05-11 04:59:00,240
2023-05-11,NY,2036.805,2013.588,2040.968,2011.141,29.826999999999998,-23.2170000000001,-0.778,23.671849999999985,TREND_DOWN,2023-05-11 08:00:00,2023-05-11 11:59:00,240
2023-05-12,London,2011.899,2006.635,2012.608,2005.581,7.027000000000044,-5.263999999999896,-0.749,10.25400000000003,TREND_DOWN,2023-05-12 01:00:00,2023-05-12 04:59:00,240
2023-05-12,NY,2004.756,2009.42,2022.536,2003.576,18.960000000000036,4.663999999999987,0.246,24.05809999999998,TREND_UP,2023-05-12 08:00:00,2023-05-12 11:59:00,240
2023-05-15,Asia,2015.906,2016.997,2018.317,2013.802,4.5150000000001,1.0910000000001219,0.242,7.943950000000018,TREND_UP,2023-05-15 19:00:00,2023-05-15 22:59:00,240
2023-05-15,London,2014.244,2017.427,2020.877,2013.261,7.6159999999999854,3.1829999999999927,0.418,9.981750000000023,TREND_UP,2023-05-15 01:00:00,2023-05-15 04:59:00,240
2023-05-15,NY,2013.071,2017.716,2022.12,2011.492,10.627999999999929,4.644999999999982,0.437,22.68254999999998,TREND_UP,2023-05-15 08:00:00,2023-05-15 11:59:00,240
2023-05-16,Asia,1989.969,1992.771,1993.015,1988.904,4.111000000000104,2.8019999999999072,0.682,7.710900000000015,TREND_UP,2023-05-16 19:00:00,2023-05-16 22:59:00,240
2023-05-16,London,2016.18,2010.162,2017.72,2002.516,15.20399999999995,-6.018000000000029,-0.396,9.799050000000022,EXPANSION_DN,2023-05-16 01:00:00,2023-05-16 04:59:00,240
2023-05-16,NY,2005.509,1995.983,2014.894,1994.506,20.38799999999992,-9.526000000000067,-0.467,21.73404999999998,TREND_DOWN,2023-05-16 08:00:00,2023-05-16 11:59:00,240
2023-05-17,Asia,1982.934,1984.178,1986.01,1981.974,4.036000000000058,1.2440000000001419,0.308,7.123950000000013,TREND_UP,2023-05-17 19:00:00,2023-05-17 22:59:00,240
